Week,Day,Date,Workout,Exercise,Weight,Sets,Reps or Time,Notes,Jan 26 2026
1,Mon,Aug 25,Strength A,Dumbbell Bench Press,22.5lg,3,6/8/-6,very hard,
,,,,Goblet Squats,10kg,3,12/12/12/,challenging ,
,,,,Push-Ups,BW,3,14/15/10,challenging ,
,,,,Face Pulls,23kg,3,12/12/12,hard,
,,,,Side Plank,BW,3,30 secs each side,,
,Wed,Aug 27,Strength B,Lat Pulldown,44kg,3,10/10/10,challenging ,
,,,,Dumbbell Romanian Deadlifts,10kg each,3,12/12/12,not too bad ,
,,,,Single Arm Dumbbell row,12.5kg,3,12/12/12,not too bad,
,,,,Dumbbell Bicep Curls,10kg each,3,10/10/10,not bad,
,,,,Bird-Dog,BW,3,30/24/24,not bad,
,Fri,Aug 29,Swimming,Freestyle Swim,,,holiday fun run,,
2,Mon,Sep 1,Strength A,Dumbbell Bench Press,22.5kg,3,10/8/2006,hard,
,,,,Goblet Squats,12.5kg,3,14/12/12,challenging,
,,,,Push-Ups,BW,3,15/15/10,hard,
,,,,Face Pulls,23kg,3,15/12/12,hard,
,,,,Side Plank,BW,3,:30 each side,challenging ,
,Wed,Sep 3,Strength B,Lat Pulldown,44kg,3,12/10/2008,hard,
,,,,Dumbbell Romanian Deadlifts,10kg,3,15/15/15,easy,
,,,,Single Arm Dumbbell row,12.5kg,3,12each side ,not bad,
,,,,Dumbbell Bicep Curls,10kg,3,12/12/12,challenging ,
,,,,Bird-Dog,BW,3,12/12/12,not bad,
,,,Swimming,Freestyle Swim,,,got sick ,,
3,wed,Oct 15,Strength A,Dumbbell Bench Press,22.5kg,3,8/8/08,hard,
,,,,Goblet Squats,10kg,3,12/12/12,challenging ,
,,,,Push-Ups,BW,3,15/15/8,hard,
,,,,Face Pulls,25kg,3,13/15/15,hard,
,,,,Side Plank,BW,3,:30sec,challenging ,
,Wed,Sep 10,Strength B,Lat Pulldown,44kg,3,12/12/12,challenging ,
,,,,Dumbbell Romanian Deadlifts,12.5kgx2,3,12/15/08,challenging ,
,,,,Single Arm Dumbbell row,15kg,3,12/12/12,challenging ,
,,,,Dumbbell Bicep Curls,12.5kg,3,8/8/2008,hard,
,,,,Bird-Dog,BW,3,10/10/10,not bad,
,Fri,Sep 12,Swimming,Freestyle Swim,,,,,
4,Mon,Nov 10,Strength A,Dumbbell Bench Press,22.5kg,3,10/8/2006,hard,
,,,,Goblet Squats,10kg,3,15/15/15,not bad,
,,,,Push-Ups,BW,3,15/15/15,challenging ,
,,,,Face Pulls,25kg,3,12/15/15,not bad,
,,,,Side Plank,BW,3,30sec,challenging ,
,Wed,11/12//2025,Strength B,Lat Pulldown,44kg,3,12/12/10,challenging ,
,,,,Dumbbell Romanian Deadlifts,12.5kg x 2,3,15/15/15,challenging ,
,,,,Single Arm Dumbbell row,17.5kg,3,10/10/,hard,
,,,,Dumbbell Bicep Curls,12.5kg,3,9/3/2008,hard,dropped to 9kh for 12 on last ser
,,,,Bird-Dog,BW,3,12/12/12,not bad,
,Fri,Sep 19,Swimming,Freestyle Swim,,,,,
,,,,dumbbell bench press,22.5kg,3,12/9/2006,hard,
,,,,global squats,12.5kg,3,15/15/15,challenging ,
,,,,push ups,BW,3,12/15/12,hard,
,,,,face pulls,25kg,3,13/15/12,challenging ,
,,,,side plank,BW,3,30sec,challenging ,
,,,,,17.5kg,3,14/12/10,not bad,
,,,,,10kg,3,12/12/12,not bad,
,,,,,BW,3,12/14/ end of 10,not bad,
,,,,,23kg to 27kg,3,14/12/14,not bad,
,,,,,BW,3,30 secs each,not bad,
,,,,,44kg,3,12/9/2009,hard,
,,,,,10kg,3,12/12/12,not bad,
,,,,,12.5kg,3,12/12/12,not bad,
,,,,,10kg,3,12/12/10.-,hard,
,,,,,bw,3,24,,
,,,,,,,,,
,,,,,20kg,3,12/9/2006,hard,
,,,,,12.5kg,3,12/12/12,hard,
,,,,,BW,3,13/13/15,hard,
,,,,,27kg,3,15/13/12,challenging ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,20kg,3,12/12/2009,hard,
,,,,,15kg,3,15/15/12,hard,
,,,,,BW,3,15/15/10,hard,
,,,,,30kg,3,12/13/13,challenging ,
,,,,,BW,3,:30 each side,hard,
,,,,,44kg,3,12/12/2009,challenging ,
,,,,,12.5kgx2,3,12/12/12,not bad,
,,,,,15kg,3,12/12/12,challenging ,
,,,,,10kg,3,12/12/12,challenging ,
,,,,,BW,3,10/12/,not bad,